24
34
01 small yellow circle  495.59 336.59 
30 large blue circle  116.56 595.56 
31 medium yellow semi-circle  493.14 74.14 
32 small green circle  73.59 898.59 
33 large green cross  585.10 651.10 
34 small blue square  1185.54 302.54 
35 small red square  257.54 41.54 
36 small red cross  452.32 229.32 
37 medium purple semi-circle  602.14 421.14 
38 small purple square  1555.54 814.54 
39 small yellow cross  814.32 964.32 
40 small blue semi-circle  534.08 527.08 
41 large blue cross  884.10 265.10 
42 small yellow triangle  753.24 249.24 
43 medium green cross  81.62 146.62 
44 small purple circle  254.59 903.59 
45 small purple cross  1255.32 896.32 
46 small yellow circle  1072.59 985.59 
47 large yellow semi-circle  394.26 407.26 
48 medium red triangle  64.47 441.47 
49 small green square  362.54 41.54 
50 large red cross  1504.10 674.10 
51 medium purple cross  1306.62 426.62 
52 medium yellow square  275.07 534.07 
53 large purple square  926.38 84.38 
54 large red semi-circle  103.26 1074.26 
55 small yellow semi-circle  874.08 744.08 
56 medium blue square  390.07 636.07 
57 medium purple circle  706.17 544.17 
58 medium green semi-circle  238.14 696.14 
59 large purple semi-circle  1364.26 228.26 
60 small purple semi-circle  1503.08 959.08 
61 large red circle  1180.56 578.56 
62 small blue circle  1305.59 762.59 
63 small red semi-circle  922.08 397.08 
64 large green semi-circle  1127.26 811.26 
65 small green triangle  653.24 1042.24 
66 medium purple triangle  66.47 271.47 
67 medium red circle  1409.17 518.17 
68 large yellow square  790.38 1103.38 
69 medium blue triangle  586.47 939.47 
70 medium green triangle  1395.47 1098.47 
71 small red triangle  731.24 955.24 
72 small red circle  1180.59 222.59 
73 small blue triangle  778.24 613.24 
74 medium yellow circle  1185.17 409.17 
75 large yellow circle  190.56 369.56 

75
65
01 small blue square  1562.54 668.54 
02 large green semi-circle  515.26 489.26 
03 large purple cross  996.10 1046.10 
04 medium red triangle  1125.47 1132.47 
05 medium yellow square  1151.07 450.07 
06 medium blue cross  456.62 719.62 
07 large red cross  782.10 771.10 
08 large red semi-circle  142.26 290.26 
09 medium green semi-circle  101.14 695.14 
10 medium purple triangle  341.47 242.47 
11 medium green cross  791.62 1087.62 
12 large yellow square  1208.38 808.38 
13 small purple circle  55.59 839.59 
14 medium purple circle  104.17 981.17 
15 small blue cross  1538.32 536.32 
16 large purple circle  1007.56 672.56 
17 small blue circle  896.59 195.59 
18 medium red semi-circle  174.14 115.14 
19 medium blue semi-circle  606.14 644.14 
20 small green semi-circle  586.08 775.08 
21 small red cross  1213.32 34.32 
22 small red square  734.54 931.54 
23 small green square  62.54 1085.54 
24 medium green square  474.07 55.07 
25 small purple triangle  41.24 145.24 
26 medium yellow semi-circle  1525.14 128.14 
27 large blue square  1001.38 123.38 
28 large blue triangle  1484.85 803.85 
29 small green circle  888.59 711.59 
30 medium blue triangle  997.47 514.47 
31 large green triangle  743.85 138.85 
32 large purple square  1438.38 269.38 
33 large blue circle  1234.56 1021.56 
34 medium yellow circle  358.17 107.17 
35 small red triangle  245.24 987.24 
36 large green square  1005.38 345.38 
37 large yellow triangle  1430.85 1078.85 
38 large yellow cross  392.10 1006.10 
39 small purple cross  1135.32 331.32 
40 medium red square  1453.07 461.07 
41 small blue triangle  1334.24 55.24 
42 small yellow semi-circle  898.08 1151.08 
43 small purple semi-circle  663.08 469.08 
44 medium red circle  174.17 1076.17 
45 small yellow triangle  1289.24 1130.24 
46 large blue semi-circle  603.26 1033.26 
47 large purple triangle  765.85 357.85 
48 large red square  190.38 825.38 
49 large purple semi-circle  521.26 240.26 
50 medium red cross  872.62 486.62 
51 large yellow circle  745.56 564.56 
52 small purple square  1017.54 789.54 
53 small green cross  1540.32 984.32 
54 medium yellow triangle  1337.47 910.47 
55 large blue cross  1191.10 607.10 
56 small red circle  1100.59 978.59 
57 large yellow semi-circle  297.26 636.26 
58 medium green triangle  356.47 825.47 
59 medium purple semi-circle  501.14 868.14 
60 medium green circle  639.17 870.17 
61 large red circle  884.56 925.56 
62 medium purple square  292.07 1122.07 
63 small green triangle  1329.24 753.24 
64 medium blue circle  309.17 370.17 
65 medium blue square  64.07 510.07 
66 large green cross  1291.10 401.10 
67 medium purple cross  223.62 458.62 
68 small red semi-circle  1539.08 363.08 
69 small blue semi-circle  491.08 1141.08 
70 small yellow circle  1322.59 558.59 
71 large red triangle  1252.85 191.85 
72 small yellow cross  1331.32 653.32 
73 medium yellow cross  1065.62 886.62 
74 small yellow square  1087.54 232.54 
75 large green circle  1436.56 603.56 

76
18
01 medium blue triangle  477.47 550.47 
02 medium green square  224.07 722.07 
03 medium green circle  98.17 495.17 
04 medium red square  1257.07 1102.07 
05 large blue square  244.38 565.38 
06 small green triangle  1397.24 427.24 
07 medium blue cross  104.62 988.62 
08 large yellow cross  174.10 1111.10 
09 medium red triangle  901.47 521.47 
10 small purple circle  197.59 43.59 
11 medium green triangle  1536.47 867.47 
12 large blue triangle  1422.85 728.85 
13 large purple circle  823.56 131.56 
14 medium purple triangle  85.47 841.47 
15 small blue cross  988.32 34.32 
16 large blue semi-circle  1268.26 507.26 
17 medium purple cross  1244.62 724.62 
18 large blue cross  524.10 172.10 
19 medium green semi-circle  1483.14 513.14 
20 medium yellow semi-circle  336.14 115.14 
21 small purple triangle  307.24 1143.24 
22 medium red semi-circle  1388.14 114.14 
23 large yellow square  1276.38 235.38 
24 small green circle  381.59 214.59 
25 medium purple semi-circle  113.14 366.14 
26 small green semi-circle  89.08 51.08 
27 medium green cross  86.62 710.62 
28 large purple cross  650.10 356.10 
29 small red semi-circle  582.08 473.08 
30 large green triangle  1460.85 1033.85 
31 large green semi-circle  1024.26 1075.26 
32 large blue circle  659.56 861.56 
33 medium blue square  803.07 819.07 
34 small yellow cross  1068.32 901.32 
35 small blue semi-circle  297.08 251.08 
36 large green square  170.38 171.38 
37 medium blue semi-circle  679.14 105.14 
38 medium purple square  1514.07 170.07 
39 small green cross  278.32 1030.32 
40 small red triangle  1353.24 1144.24 
41 large red square  804.38 1102.38 
42 small blue square  468.54 43.54 
43 small yellow circle  785.59 619.59 
44 small yellow semi-circle  720.08 974.08 
45 small blue triangle  1197.24 117.24 
46 large green cross  611.10 630.10 
47 medium yellow circle  1102.17 68.17 
48 medium yellow square  776.07 495.07 
49 medium blue circle  1093.17 743.17 
50 large green circle  233.56 883.56 
51 medium purple circle  854.17 958.17 
52 small green square  228.54 386.54 
53 medium red circle  949.17 185.17 
54 medium yellow cross  614.62 1079.62 
55 large red cross  1483.10 311.10 
56 small purple semi-circle  740.08 687.08 
57 medium red cross  945.62 855.62 
58 small blue circle  589.59 765.59 
59 large yellow triangle  389.85 381.85 
60 large red triangle  1072.85 581.85 
61 small yellow triangle  41.24 587.24 
62 large red circle  916.56 707.56 
63 large yellow semi-circle  1233.26 901.26 
64 medium yellow triangle  1108.47 190.47 
65 small purple cross  725.32 211.32 
66 small yellow square  568.54 965.54 
67 small purple square  1172.54 1049.54 
68 large purple square  413.38 701.38 
69 small red cross  1292.32 36.32 
70 small red circle  30.59 110.59 
71 large red semi-circle  1072.26 363.26 
72 large purple semi-circle  862.26 341.26 
73 large yellow circle  453.56 871.56 
74 large purple triangle  447.85 1064.85 
75 small red square  51.54 224.54 

77
28
01 small yellow square  967.54 462.54 
02 medium green square  343.07 140.07 
03 medium yellow square  360.07 545.07 
04 large yellow circle  93.56 1003.56 
05 small purple circle  1094.59 299.59 
06 large yellow semi-circle  336.26 366.26 
07 large red semi-circle  682.26 681.26 
08 small blue triangle  474.24 559.24 
09 small green square  1063.54 47.54 
10 small green semi-circle  563.08 51.08 
11 small red semi-circle  1545.08 775.08 
12 small green triangle  868.24 876.24 
13 large purple semi-circle  550.26 915.26 
14 medium blue cross  370.62 795.62 
15 small blue semi-circle  1546.08 988.08 
16 small purple square  395.54 49.54 
17 medium yellow semi-circle  198.14 852.14 
18 medium green semi-circle  1502.14 86.14 
19 large blue circle  1207.56 1005.56 
20 medium red semi-circle  1073.14 1118.14 
21 medium purple triangle  540.47 1125.47 
22 large red triangle  1490.85 342.85 
23 large red square  365.38 1093.38 
24 small red triangle  218.24 982.24 
25 medium blue square  1537.07 557.07 
26 medium red cross  1167.62 502.62 
27 small yellow circle  117.59 770.59 
28 large blue square  1189.38 728.38 
29 medium green circle  783.17 823.17 
30 medium green triangle  1284.47 1130.47 
31 small yellow semi-circle  1382.08 101.08 
32 medium purple circle  64.17 1152.17 
33 large blue triangle  1421.85 885.85 
34 medium blue semi-circle  1083.14 927.14 
35 large green triangle  509.85 202.85 
36 small green circle  1257.59 33.59 
37 large blue cross  926.10 991.10 
38 small green cross  699.32 936.32 
39 small purple triangle  864.24 701.24 
40 small blue square  42.54 473.54 
41 large yellow cross  839.10 397.10 
42 large blue semi-circle  601.26 475.26 
43 medium red circle  50.17 851.17 
44 medium yellow circle  478.17 671.17 
45 large purple cross  1319.10 452.10 
46 large green cross  1275.10 172.10 
47 medium yellow cross  53.62 617.62 
48 medium blue circle  301.17 926.17 
49 large red cross  1462.10 1099.10 
50 small yellow triangle  141.24 47.24 
51 small red cross  938.32 1161.32 
52 large green semi-circle  1398.26 660.26 
53 large purple triangle  176.85 201.85 
54 large purple circle  995.56 351.56 
55 medium yellow triangle  185.47 1120.47 
56 medium purple semi-circle  995.14 146.14 
57 medium red square  1190.07 358.07 
58 small purple cross  44.32 145.32 
59 small blue cross  1101.32 402.32 
60 small red circle  1132.59 185.59 
61 large green square  252.38 684.38 
62 small purple semi-circle  1226.08 888.08 
63 medium red triangle  818.47 564.47 
64 medium purple cross  698.62 76.62 
65 large yellow triangle  725.85 1090.85 
66 small blue circle  1058.59 743.59 
67 large red circle  951.56 788.56 
68 large green circle  167.56 494.56 
69 medium purple square  1159.07 74.07 
70 small red square  1042.54 492.54 
71 large purple square  821.38 167.38 
72 medium green cross  690.62 265.62 
73 medium blue triangle  92.47 362.47 
74 large yellow square  985.38 608.38 
75 small yellow cross  386.32 669.32 

78
29
01 small blue square  578.54 1155.54 
02 large red semi-circle  1357.26 453.26 
03 medium red semi-circle  1396.14 66.14 
04 medium purple circle  1540.17 324.17 
05 medium yellow circle  86.17 1059.17 
06 medium yellow triangle  68.47 105.47 
07 small purple triangle  704.24 43.24 
08 large red cross  146.10 934.10 
09 large red square  674.38 929.38 
10 large yellow triangle  1163.85 645.85 
11 small blue circle  1300.59 1133.59 
12 small yellow square  404.54 1159.54 
13 large red triangle  368.85 726.85 
14 small yellow triangle  1028.24 1146.24 
15 large yellow semi-circle  231.26 190.26 
16 large yellow circle  1372.56 215.56 
17 medium green semi-circle  810.14 772.14 
18 small green square  1377.54 1150.54 
19 medium green square  1452.07 601.07 
20 medium red square  538.07 836.07 
21 small purple circle  877.59 294.59 
22 medium yellow square  361.07 89.07 
23 medium purple triangle  510.47 618.47 
24 medium red cross  1302.62 902.62 
25 small yellow cross  1247.32 309.32 
26 large red circle  1229.56 169.56 
27 small green semi-circle  382.08 576.08 
28 large yellow cross  1017.10 246.10 
29 large green cross  787.10 1063.10 
30 small blue triangle  763.24 621.24 
31 large blue square  645.38 513.38 
32 large blue triangle  837.85 450.85 
33 medium purple square  301.07 941.07 
34 small red square  79.54 1153.54 
35 medium purple semi-circle  186.14 375.14 
36 medium blue semi-circle  626.14 718.14 
37 medium blue square  908.07 673.07 
38 large blue cross  443.10 452.10 
39 small purple square  1555.54 892.54 
40 small red circle  80.59 725.59 
41 small green circle  1558.59 417.59 
42 large purple cross  1463.10 809.10 
43 medium red circle  920.17 1144.17 
44 medium green triangle  846.47 904.47 
45 small purple semi-circle  524.08 345.08 
46 large green circle  1323.56 728.56 
47 small red triangle  978.24 43.24 
48 large purple square  1046.38 487.38 
49 large green square  988.38 828.38 
50 large purple semi-circle  671.26 309.26 
51 large purple circle  1437.56 1033.56 
52 large blue circle  1126.56 931.56 
53 medium purple cross  62.62 300.62 
54 small green cross  1217.32 48.32 
55 large purple triangle  838.85 134.85 
56 medium red triangle  1534.47 188.47 
57 small green triangle  47.24 633.24 
58 medium green circle  1521.17 60.17 
59 small blue semi-circle  1291.08 1042.08 
60 small yellow circle  905.59 1038.59 
61 small red semi-circle  1211.08 796.08 
62 large green semi-circle  487.26 1004.26 
63 small yellow semi-circle  1549.08 533.08 
64 medium yellow semi-circle  183.14 761.14 
65 medium blue triangle  1099.47 109.47 
66 medium blue cross  382.62 293.62 
67 large green triangle  530.85 141.85 
68 small purple cross  1564.32 667.32 
69 medium yellow cross  247.62 1103.62 
70 medium green cross  1142.62 365.62 
71 medium blue circle  993.17 1041.17 
72 large yellow square  1159.38 1116.38 
73 small red cross  82.32 828.32 
74 large blue semi-circle  177.26 551.26 
75 small blue cross  1551.32 985.32 

79
3
01 large green circle  416.56 971.56 
02 medium purple cross  416.62 617.62 
03 medium yellow square  220.07 1111.07 
04 medium green triangle  1246.47 542.47 
05 large purple cross  1466.10 570.10 
06 small green circle  165.59 168.59 
07 large green triangle  698.85 599.85 
08 small red semi-circle  320.08 533.08 
09 medium yellow circle  898.17 879.17 
10 medium yellow triangle  64.47 830.47 
11 small yellow circle  813.59 1105.59 
12 large yellow triangle  953.85 109.85 
13 medium green square  62.07 223.07 
14 medium red square  83.07 703.07 
15 small purple circle  141.59 61.59 
16 large purple semi-circle  524.26 739.26 
17 large purple circle  1187.56 1034.56 
18 medium yellow cross  413.62 490.62 
19 medium red semi-circle  402.14 235.14 
20 large blue semi-circle  902.26 519.26 
21 large yellow semi-circle  1069.26 290.26 
22 small yellow cross  50.32 543.32 
23 small purple square  1091.54 1146.54 
24 large yellow cross  524.10 373.10 
25 medium red cross  72.62 1075.62 
26 small purple cross  1562.32 947.32 
27 small green semi-circle  671.08 58.08 
28 large blue circle  1101.56 556.56 
29 large purple triangle  1224.85 817.85 
30 medium blue circle  1466.17 216.17 
31 small purple semi-circle  362.08 779.08 
32 large blue square  1493.38 820.38 
33 small yellow triangle  1558.24 444.24 
34 small blue square  1393.54 273.54 
35 large yellow square  1056.38 717.38 
36 large blue cross  245.10 715.10 
37 medium red triangle  1245.47 293.47 
38 large green semi-circle  750.26 238.26 
39 medium green semi-circle  82.14 390.14 
40 medium green cross  1308.62 678.62 
41 large purple square  179.38 938.38 
42 small green cross  817.32 66.32 
43 large red square  269.38 84.38 
44 medium blue semi-circle  695.14 420.14 
45 small yellow square  1177.54 449.54 
46 large green square  708.38 872.38 
47 small blue cross  1063.32 1061.32 
48 small blue triangle  1365.24 892.24 
49 medium purple triangle  1507.47 85.47 
50 large red circle  1358.56 432.56 
51 large green cross  905.10 1021.10 
52 small green triangle  977.24 1139.24 
53 large blue triangle  525.85 111.85 
54 small red square  1557.54 682.54 
55 medium yellow semi-circle  885.14 726.14 
56 small red circle  355.59 874.59 
57 small green square  538.54 888.54 
58 small red cross  66.32 83.32 
59 medium purple circle  1041.17 887.17 
60 small blue semi-circle  1373.08 763.08 
61 small red triangle  1240.24 1156.24 
62 medium blue triangle  177.47 528.47 
63 medium blue square  1412.07 990.07 
64 medium green circle  1510.17 1043.17 
65 large red triangle  647.85 1088.85 
66 small purple triangle  146.24 283.24 
67 large yellow circle  1353.56 1119.56 
68 large red semi-circle  271.26 371.26 
69 medium blue cross  1140.62 130.62 
70 medium red circle  900.17 307.17 
71 medium purple square  428.07 1124.07 
72 small blue circle  534.59 558.59 
73 small yellow semi-circle  1511.08 1150.08 
74 medium purple semi-circle  1509.14 336.14 
75 large red cross  1315.10 110.10 

80
70
01 large blue cross  941.10 1099.10 
02 small green cross  1345.32 36.32 
03 small red triangle  910.24 943.24 
04 medium purple circle  116.17 171.17 
05 medium red cross  402.62 385.62 
06 large blue triangle  802.85 451.85 
07 small purple cross  1360.32 455.32 
08 medium purple cross  782.62 1135.62 
09 small purple square  1544.54 1097.54 
10 large yellow circle  1152.56 664.56 
11 large yellow triangle  250.85 462.85 
12 small yellow circle  161.59 270.59 
13 medium blue square  1345.07 174.07 
14 large blue square  969.38 135.38 
15 medium purple square  1249.07 80.07 
16 large blue semi-circle  273.26 744.26 
17 small purple circle  1544.59 979.59 
18 small yellow cross  525.32 1126.32 
19 medium red semi-circle  649.14 802.14 
20 small green square  1220.54 572.54 
21 medium red triangle  571.47 657.47 
22 medium green cross  1396.62 590.62 
23 large purple semi-circle  1393.26 1049.26 
24 small blue semi-circle  620.08 922.08 
25 small blue cross  311.32 903.32 
26 small purple triangle  53.24 502.24 
27 large purple triangle  451.85 996.85 
28 medium green semi-circle  1000.14 791.14 
29 large red triangle  1307.85 775.85 
30 medium green square  1151.07 1127.07 
31 small yellow triangle  337.24 41.24 
32 small purple semi-circle  442.08 1150.08 
33 small red circle  1485.59 1161.59 
34 large green circle  767.56 1004.56 
35 medium yellow cross  53.62 1013.62 
36 medium purple triangle  1507.47 298.47 
37 small green semi-circle  1300.08 538.08 
38 small green triangle  101.24 1104.24 
39 medium blue circle  102.17 396.17 
40 large purple square  100.38 632.38 
41 large green cross  1479.10 117.10 
42 large purple circle  1029.56 365.56 
43 small red cross  578.32 59.32 
44 large green triangle  630.85 201.85 
45 medium green circle  693.17 624.17 
46 medium red circle  782.17 100.17 
47 large blue circle  488.56 812.56 
48 medium yellow triangle  1113.47 66.47 
49 small blue triangle  1259.24 1152.24 
50 large yellow semi-circle  1162.26 955.26 
51 small red square  456.54 686.54 
52 medium blue triangle  646.47 1081.47 
53 medium purple semi-circle  459.14 559.14 
54 large yellow cross  818.10 839.10 
55 large red circle  1225.56 442.56 
56 medium blue cross  455.62 54.62 
57 large red semi-circle  573.26 421.26 
58 small blue circle  957.59 278.59 
59 large purple cross  1169.10 227.10 
60 medium blue semi-circle  95.14 802.14 
61 medium yellow square  1072.07 498.07 
62 medium green triangle  186.47 64.47 
63 small blue square  326.54 1103.54 
64 small green circle  467.59 306.59 
65 large green semi-circle  317.26 217.26 
66 small red semi-circle  475.08 156.08 
67 medium yellow semi-circle  1360.14 306.14 
68 medium yellow circle  961.17 476.17 
69 small yellow square  1008.54 947.54 
70 large green square  921.38 640.38 
71 medium red square  796.07 215.07 
72 small yellow semi-circle  1542.08 608.08 
73 large red square  1505.38 780.38 
74 large yellow square  206.38 1009.38 
75 large red cross  1490.10 473.10 

81
44
01 large red cross  1104.10 1075.10 
02 medium yellow semi-circle  309.14 802.14 
03 medium yellow circle  446.17 828.17 
04 medium blue square  552.07 425.07 
05 medium green triangle  447.47 220.47 
06 small yellow circle  1434.59 234.59 
07 medium red square  1520.07 669.07 
08 small green square  542.54 302.54 
09 large yellow cross  367.10 586.10 
10 medium purple triangle  1048.47 233.47 
11 medium red triangle  306.47 224.47 
12 medium blue triangle  222.47 690.47 
13 medium purple semi-circle  1134.14 740.14 
14 small blue triangle  526.24 69.24 
15 large blue semi-circle  162.26 525.26 
16 small red circle  968.59 1038.59 
17 medium green semi-circle  1152.14 109.14 
18 small green cross  702.32 49.32 
19 small red cross  811.32 195.32 
20 small yellow square  1036.54 35.54 
21 small blue semi-circle  679.08 774.08 
22 large yellow semi-circle  1423.26 830.26 
23 medium purple circle  292.17 95.17 
24 medium blue circle  957.17 618.17 
25 large blue circle  977.56 922.56 
26 medium green circle  1278.17 748.17 
27 small purple square  1422.54 50.54 
28 medium yellow square  280.07 1142.07 
29 medium yellow cross  186.62 184.62 
30 medium blue semi-circle  779.14 301.14 
31 medium purple cross  477.62 1054.62 
32 large red semi-circle  376.26 389.26 
33 medium green cross  1289.62 1060.62 
34 small purple cross  613.32 534.32 
35 large red square  935.38 373.38 
36 large green square  322.38 967.38 
37 small purple circle  1557.59 228.59 
38 large green semi-circle  1200.26 370.26 
39 small yellow cross  1235.32 1156.32 
40 large blue cross  146.10 823.10 
41 large green triangle  754.85 999.85 
42 small red semi-circle  980.08 722.08 
43 medium red semi-circle  1515.14 127.14 
44 medium purple square  903.07 1129.07 
45 small green circle  436.59 1155.59 
46 large yellow circle  1329.56 187.56 
47 small green semi-circle  1117.08 912.08 
48 medium yellow triangle  117.47 63.47 
49 large blue triangle  635.85 187.85 
50 large red triangle  1451.85 1044.85 
51 medium blue cross  638.62 1134.62 
52 small blue circle  847.59 602.59 
53 medium red cross  67.62 183.62 
54 small green triangle  700.24 635.24 
55 large purple semi-circle  1449.26 405.26 
56 small blue cross  42.32 989.32 
57 large purple circle  132.56 343.56 
58 large yellow square  913.38 90.38 
59 small purple semi-circle  1034.08 806.08 
60 large red circle  1235.56 932.56 
61 small red triangle  1558.24 905.24 
62 large blue square  594.38 884.38 
63 small yellow semi-circle  427.08 717.08 
64 large green cross  566.10 695.10 
65 large purple square  1302.38 604.38 
66 large green circle  133.56 1076.56 
67 small blue square  475.54 521.54 
68 medium green square  66.07 687.07 
69 large yellow triangle  769.85 478.85 
70 small yellow triangle  590.24 1018.24 
71 medium red circle  423.17 99.17 
72 small red square  1262.54 88.54 
73 large purple triangle  830.85 790.85 
74 small purple triangle  1518.24 549.24 
75 large purple cross  1086.10 576.10 

82
9
01 large blue cross  1492.10 1065.10 
02 large purple triangle  1048.85 663.85 
03 small purple triangle  946.24 55.24 
04 small yellow square  725.54 278.54 
05 large red square  165.38 763.38 
06 large blue triangle  865.85 865.85 
07 large red cross  1170.10 176.10 
08 large green circle  247.56 431.56 
09 medium yellow semi-circle  1194.14 565.14 
10 large purple circle  927.56 414.56 
11 large red semi-circle  706.26 432.26 
12 medium yellow triangle  562.47 1135.47 
13 large yellow circle  481.56 646.56 
14 large blue semi-circle  1399.26 295.26 
15 small yellow cross  979.32 967.32 
16 medium green semi-circle  363.14 817.14 
17 medium blue semi-circle  866.14 617.14 
18 small blue semi-circle  1555.08 631.08 
19 medium red cross  1312.62 1145.62 
20 medium red semi-circle  329.14 148.14 
21 large yellow semi-circle  1313.26 825.26 
22 medium green square  329.07 277.07 
23 small green semi-circle  1186.08 41.08 
24 medium yellow square  1196.07 1142.07 
25 small blue square  1181.54 445.54 
26 small green triangle  424.24 63.24 
27 small red semi-circle  1424.08 952.08 
28 medium purple triangle  1533.47 410.47 
29 large purple square  1344.38 490.38 
30 medium red square  1025.07 166.07 
31 large green semi-circle  503.26 214.26 
32 medium blue triangle  1424.47 627.47 
33 large red triangle  99.85 1048.85 
34 small red triangle  1048.24 1151.24 
35 large purple cross  1126.10 1013.10 
36 small red square  564.54 363.54 
37 medium yellow circle  1522.17 531.17 
38 small purple semi-circle  1084.08 277.08 
39 medium green triangle  1058.47 846.47 
40 small yellow semi-circle  841.08 46.08 
41 large yellow cross  287.10 958.10 
42 medium blue cross  1489.62 844.62 
43 large red circle  302.56 623.56 
44 small purple square  387.54 1154.54 
45 medium blue square  285.07 1121.07 
46 small purple cross  1317.32 640.32 
47 medium green circle  78.17 379.17 
48 large yellow square  607.38 792.38 
49 small yellow circle  1206.59 723.59 
50 small blue circle  972.59 293.59 
51 large green triangle  862.85 201.85 
52 small green cross  43.32 844.32 
53 small blue triangle  814.24 1098.24 
54 large yellow triangle  124.85 573.85 
55 small blue cross  1288.32 33.32 
56 large green square  672.38 86.38 
57 medium green cross  1374.62 95.62 
58 large blue circle  946.56 1085.56 
59 medium blue circle  1087.17 394.17 
60 medium purple semi-circle  506.14 493.14 
61 medium purple circle  1516.17 722.17 
62 medium red triangle  403.47 385.47 
63 large purple semi-circle  166.26 211.26 
64 small green square  1066.54 62.54 
65 small red cross  129.32 54.32 
66 medium yellow cross  1526.62 89.62 
67 medium purple square  711.07 684.07 
68 small yellow triangle  754.24 579.24 
69 medium red circle  1299.17 993.17 
70 large blue square  451.38 1019.38 
71 small red circle  673.59 909.59 
72 large green cross  687.10 1040.10 
73 small green circle  404.59 520.59 
74 small purple circle  618.59 605.59 
75 medium purple cross  1210.62 348.62 

83
15
01 medium yellow triangle  709.47 181.47 
02 medium blue square  307.07 56.07 
03 small blue semi-circle  1508.08 842.08 
04 large purple triangle  453.85 1062.85 
05 large purple semi-circle  341.26 499.26 
06 medium green semi-circle  570.14 121.14 
07 large purple cross  1454.10 602.10 
08 small green square  545.54 261.54 
09 medium yellow circle  77.17 121.17 
10 large purple circle  415.56 186.56 
11 large yellow triangle  434.85 832.85 
12 small yellow square  1322.54 984.54 
13 medium purple cross  742.62 1016.62 
14 medium red circle  1279.17 659.17 
15 medium purple circle  780.17 46.17 
16 large blue circle  301.56 965.56 
17 small green cross  895.32 987.32 
18 large red cross  1210.10 1048.10 
19 large yellow semi-circle  995.26 175.26 
20 medium red cross  259.62 1127.62 
21 medium green circle  1024.17 695.17 
22 small green circle  422.59 33.59 
23 small purple triangle  1206.24 905.24 
24 large blue cross  1410.10 271.10 
25 small purple square  680.54 914.54 
26 medium yellow cross  1520.62 726.62 
27 medium red semi-circle  811.14 273.14 
28 large green triangle  1499.85 1011.85 
29 large blue semi-circle  141.26 431.26 
30 large red square  139.38 818.38 
31 large green square  110.38 1106.38 
32 small green semi-circle  770.08 1151.08 
33 medium red square  1056.07 1052.07 
34 small green triangle  888.24 51.24 
35 large blue triangle  1023.85 888.85 
36 small red circle  1252.59 1166.59 
37 large yellow cross  721.10 534.10 
38 small yellow semi-circle  121.08 953.08 
39 medium purple square  1506.07 419.07 
40 medium red triangle  1364.47 124.47 
41 large red triangle  1169.85 510.85 
42 medium yellow semi-circle  910.14 1130.14 
43 small blue cross  37.32 725.32 
44 small blue triangle  828.24 392.24 
45 large yellow square  649.38 784.38 
46 medium purple semi-circle  1342.14 462.14 
47 small purple semi-circle  1034.08 1156.08 
48 large purple square  505.38 390.38 
49 small red cross  133.32 195.32 
50 large green cross  818.10 881.10 
51 large yellow circle  1188.56 154.56 
52 large green semi-circle  953.26 525.26 
53 medium blue triangle  543.47 668.47 
54 small purple circle  650.59 1002.59 
55 large red circle  1174.56 317.56 
56 large blue square  171.38 627.38 
57 small yellow triangle  593.24 513.24 
58 medium yellow square  861.07 734.07 
59 small red triangle  52.24 263.24 
60 small purple cross  520.32 554.32 
61 large red semi-circle  1357.26 806.26 
62 small blue circle  40.59 574.59 
63 large green circle  693.56 354.56 
64 medium blue cross  305.62 317.62 
65 medium green cross  660.62 1135.62 
66 small red square  271.54 737.54 
67 medium green triangle  1158.47 753.47 
68 small red semi-circle  573.08 923.08 
69 small yellow cross  1059.32 34.32 
70 medium purple triangle  239.47 208.47 
71 small blue square  1415.54 1156.54 
72 medium blue circle  965.17 356.17 
73 medium green square  364.07 674.07 
74 medium blue semi-circle  1502.14 139.14 
75 small yellow circle  1098.59 633.59 

84
12
01 medium yellow semi-circle  823.14 86.14 
02 large purple semi-circle  1123.26 121.26 
03 large purple triangle  166.85 146.85 
04 medium blue semi-circle  531.14 631.14 
05 small yellow cross  259.32 424.32 
06 medium blue circle  379.17 238.17 
07 medium purple semi-circle  1482.14 345.14 
08 large red semi-circle  1280.26 654.26 
09 large red circle  1392.56 204.56 
10 small yellow circle  784.59 320.59 
11 large purple circle  1059.56 595.56 
12 large yellow semi-circle  369.26 519.26 
13 small yellow semi-circle  693.08 935.08 
14 small purple circle  1099.59 716.59 
15 medium red square  591.07 57.07 
16 small blue cross  1252.32 255.32 
17 medium blue triangle  946.47 879.47 
18 large green cross  935.10 708.10 
19 small blue triangle  413.24 1160.24 
20 medium yellow triangle  71.47 833.47 
21 medium red cross  810.62 1041.62 
22 medium green triangle  580.47 881.47 
23 small green circle  930.59 573.59 
24 large green circle  259.56 747.56 
25 large blue cross  148.10 545.10 
26 medium purple cross  452.62 327.62 
27 large purple cross  994.10 1046.10 
28 small blue square  322.54 166.54 
29 small red square  354.54 361.54 
30 medium green cross  1070.62 832.62 
31 small purple square  994.54 46.54 
32 small red triangle  1545.24 765.24 
33 small red cross  1078.32 943.32 
34 medium yellow cross  270.62 290.62 
35 medium green semi-circle  140.14 388.14 
36 medium red semi-circle  803.14 851.14 
37 large yellow square  688.38 232.38 
38 large blue square  1473.38 623.38 
39 medium blue square  1334.07 54.07 
40 small yellow triangle  40.24 45.24 
